timestamp_start,timestamp_end,cena_pln_mwh,wolumen,rynek,waluta,zrodlo
2026-02-17T00:15:00,2026-02-17T00:30:00,474.47,47.25,RDB,PLN,TGE_scraper
2026-02-17T00:30:00,2026-02-17T00:45:00,423.28,57.88,RDB,PLN,TGE_scraper
2026-02-17T00:45:00,2026-02-17T01:00:00,423.63,43.05,RDB,PLN,TGE_scraper
2026-02-17T01:00:00,2026-02-17T01:15:00,419.69,39.28,RDB,PLN,TGE_scraper
2026-02-17T01:15:00,2026-02-17T01:30:00,411.9,44.1,RDB,PLN,TGE_scraper
2026-02-17T01:30:00,2026-02-17T01:45:00,412.72,37.7,RDB,PLN,TGE_scraper
2026-02-17T01:45:00,2026-02-17T02:00:00,417.19,33.25,RDB,PLN,TGE_scraper
2026-02-17T02:00:00,2026-02-17T02:15:00,414.84,34.9,RDB,PLN,TGE_scraper
2026-02-17T02:15:00,2026-02-17T02:30:00,412.37,42.75,RDB,PLN,TGE_scraper
2026-02-17T02:30:00,2026-02-17T02:45:00,412.94,42.63,RDB,PLN,TGE_scraper
2026-02-17T02:45:00,2026-02-17T03:00:00,420.24,49.28,RDB,PLN,TGE_scraper
2026-02-17T03:00:00,2026-02-17T03:15:00,407.2,34.33,RDB,PLN,TGE_scraper
2026-02-17T03:15:00,2026-02-17T03:30:00,419.01,68.1,RDB,PLN,TGE_scraper
2026-02-17T03:30:00,2026-02-17T03:45:00,422.63,46.85,RDB,PLN,TGE_scraper
2026-02-17T03:45:00,2026-02-17T04:00:00,432.35,65.93,RDB,PLN,TGE_scraper
2026-02-17T04:00:00,2026-02-17T04:15:00,425.88,62.8,RDB,PLN,TGE_scraper
2026-02-17T04:15:00,2026-02-17T04:30:00,411.82,32.6,RDB,PLN,TGE_scraper
2026-02-17T04:30:00,2026-02-17T04:45:00,413.6,27.75,RDB,PLN,TGE_scraper
2026-02-17T04:45:00,2026-02-17T05:00:00,413.56,34.88,RDB,PLN,TGE_scraper
2026-02-17T05:00:00,2026-02-17T05:15:00,419.77,35.18,RDB,PLN,TGE_scraper
2026-02-17T05:15:00,2026-02-17T05:30:00,394.43,41.5,RDB,PLN,TGE_scraper
2026-02-17T05:30:00,2026-02-17T05:45:00,383.68,29.35,RDB,PLN,TGE_scraper
2026-02-17T05:45:00,2026-02-17T06:00:00,418.78,35.38,RDB,PLN,TGE_scraper
2026-02-17T06:00:00,2026-02-17T06:15:00,441.87,68.5,RDB,PLN,TGE_scraper
2026-02-17T06:15:00,2026-02-17T06:30:00,403.76,57.33,RDB,PLN,TGE_scraper
2026-02-17T06:30:00,2026-02-17T06:45:00,497.74,54.8,RDB,PLN,TGE_scraper
2026-02-17T06:45:00,2026-02-17T07:00:00,532.4,72.58,RDB,PLN,TGE_scraper
2026-02-17T07:00:00,2026-02-17T07:15:00,570.08,99.98,RDB,PLN,TGE_scraper
2026-02-17T07:15:00,2026-02-17T07:30:00,569.01,62.68,RDB,PLN,TGE_scraper
2026-02-17T07:30:00,2026-02-17T07:45:00,667.11,69.73,RDB,PLN,TGE_scraper
2026-02-17T07:45:00,2026-02-17T08:00:00,757.84,105.9,RDB,PLN,TGE_scraper
2026-02-17T08:00:00,2026-02-17T08:15:00,684.73,147.3,RDB,PLN,TGE_scraper
2026-02-17T08:15:00,2026-02-17T08:30:00,765.1,127.33,RDB,PLN,TGE_scraper
2026-02-17T08:30:00,2026-02-17T08:45:00,688.13,96.93,RDB,PLN,TGE_scraper
